Model,RS_SCORE,Rank
MIEnsembles-Server,71.29067917996943,1
ModFOLDdock2,69.04068428119953,2
MULTICOM_LLM,65.8645282041263,3
MULTICOM_GATE,60.189358118532965,4
GuijunLab-QA,50.58125726512062,5
ChaePred,46.49114376360291,6
GuijunLab-Human,46.40254067703677,7
GuijunLab-Assembly,42.115098425012185,8
MULTICOM_human,35.66943765124167,9
Pcons,32.86551294409741,10
MQA_base,31.60264720110125,11
MQA_server,31.15371256427881,12
GuijunLab-PAthreader,31.120777195352158,13
AF_unmasked,31.034839990260295,14
VifChartreuse,29.632634710203515,15
Guijunlab-Complex,29.281305807085566,16
MQA,25.599056245143004,17
COAST,25.47346071837398,18
VifChartreuseJaune,25.023703207755883,19
PIEFold_human,16.20513947824269,20
MULTICOM_AI,15.50597845788906,21
zyh_mae_try1E,5.458680779282018,22
milliseconds,4.200933378120111,23
ARC,0.0,24
APOLLO,0.0,25
GromihaLab,0.0,26
KiharaLab,0.0,27
