model_name,ics,ics_precision,ics_recall,ips,qs_global,qs_best,lddt,tmscore_mmalign,rmsd,dockq_wave,tmscore_usalign,tmscore_usalign_aligned
H1236TS267_2.pdb,0.7,0.772,0.64,0.828,0.686,0.692,0.794,0.882,5.876,0.615,0.88544,0.88544
H1236TS294_3.pdb,0.688,0.74,0.642,0.832,0.649,0.655,0.814,0.869,6.166,0.604,0.87181,0.87181
H1236TS267_1.pdb,0.688,0.74,0.642,0.832,0.649,0.655,0.814,0.869,6.166,0.604,0.87181,0.87181
H1236TS290_4.pdb,0.395,0.445,0.355,0.823,0.422,0.426,0.81,0.773,15.617,0.308,0.72552,0.72552
H1236TS208_4.pdb,0.319,0.315,0.324,0.824,0.338,0.341,0.795,0.772,15.608,0.312,0.72697,0.72697
H1236TS304_1.pdb,0.393,0.474,0.337,0.8,0.413,0.414,0.803,0.772,15.63,0.301,0.72664,0.72664
H1236TS304_3.pdb,0.391,0.446,0.348,0.809,0.39,0.391,0.799,0.772,15.67,0.3,0.72736,0.72736
H1236TS456_4.pdb,0.39,0.432,0.356,0.825,0.402,0.403,0.806,0.771,15.674,0.31,0.72529,0.72529
H1236TS022_5.pdb,0.39,0.432,0.356,0.825,0.402,0.403,0.806,0.771,15.674,0.31,0.72529,0.72529
H1236TS294_2.pdb,0.396,0.466,0.344,0.82,0.431,0.434,0.8,0.77,15.707,0.298,0.72316,0.72316
H1236TS218_5.pdb,0.402,0.459,0.358,0.845,0.413,0.419,0.81,0.769,15.481,0.323,0.72882,0.72882
H1236TS494_5.pdb,0.389,0.418,0.364,0.839,0.407,0.409,0.761,0.769,15.821,0.306,0.72355,0.72355
H1236TS274_5.pdb,0.389,0.418,0.364,0.839,0.407,0.409,0.761,0.769,15.821,0.306,0.72355,0.72355
H1236TS393_6.pdb,0.375,0.435,0.33,0.806,0.405,0.406,0.791,0.768,15.823,0.292,0.72255,0.72255
H1236TS312_1.pdb,0.371,0.395,0.349,0.824,0.383,0.386,0.799,0.768,15.918,0.295,0.72172,0.72172
H1236TS148_1.pdb,0.371,0.395,0.349,0.824,0.383,0.386,0.799,0.768,15.918,0.295,0.72172,0.72172
H1236TS393_1.pdb,0.371,0.395,0.349,0.824,0.383,0.386,0.799,0.768,15.918,0.295,0.72172,0.72172
H1236TS264_1.pdb,0.371,0.395,0.349,0.824,0.383,0.386,0.799,0.768,15.918,0.295,0.72172,0.72172
H1236TS264_5.pdb,0.375,0.435,0.33,0.806,0.405,0.406,0.791,0.768,15.823,0.292,0.72255,0.72255
H1236TS274_4.pdb,0.38,0.409,0.354,0.855,0.39,0.395,0.773,0.768,15.754,0.299,0.72168,0.72168
H1236TS494_4.pdb,0.38,0.409,0.354,0.855,0.39,0.395,0.773,0.768,15.754,0.299,0.72168,0.72168
H1236TS419_4.pdb,0.382,0.461,0.325,0.787,0.386,0.387,0.782,0.768,16.395,0.266,0.72209,0.72209
H1236TS274_3.pdb,0.368,0.417,0.329,0.81,0.397,0.399,0.761,0.768,15.912,0.283,0.721,0.721
H1236TS494_3.pdb,0.368,0.417,0.329,0.81,0.397,0.399,0.761,0.768,15.912,0.283,0.721,0.721
H1236TS393_4.pdb,0.38,0.449,0.33,0.763,0.395,0.395,0.794,0.767,16.153,0.276,0.72039,0.72039
H1236TS023_2.pdb,0.363,0.424,0.317,0.789,0.381,0.383,0.794,0.767,15.931,0.282,0.72138,0.72138
H1236TS264_2.pdb,0.363,0.424,0.317,0.789,0.381,0.383,0.794,0.767,15.931,0.282,0.72138,0.72138
H1236TS023_5.pdb,0.386,0.444,0.34,0.83,0.404,0.405,0.798,0.767,15.916,0.292,0.72061,0.72061
H1236TS023_1.pdb,0.386,0.444,0.34,0.83,0.404,0.405,0.798,0.767,15.916,0.292,0.72061,0.72061
H1236TS393_5.pdb,0.363,0.424,0.317,0.789,0.381,0.383,0.794,0.767,15.931,0.282,0.72138,0.72138
H1236TS031_2.pdb,0.554,0.538,0.571,0.823,0.559,0.562,0.8,0.767,15.681,0.379,0.72741,0.72741
H1236TS294_1.pdb,0.363,0.424,0.317,0.789,0.381,0.383,0.794,0.767,15.931,0.282,0.72138,0.72138
H1236TS262_5.pdb,0.406,0.452,0.368,0.78,0.423,0.425,0.774,0.767,15.882,0.278,0.72193,0.72193
H1236TS264_4.pdb,0.38,0.449,0.33,0.763,0.395,0.395,0.794,0.767,16.153,0.276,0.72039,0.72039
H1236TS085_3.pdb,0.329,0.357,0.305,0.821,0.406,0.408,0.645,0.767,15.848,0.283,0.72111,0.72111
H1236TS022_4.pdb,0.365,0.41,0.329,0.813,0.387,0.389,0.794,0.767,15.811,0.295,0.7209,0.7209
H1236TS052_4.pdb,0.365,0.41,0.329,0.813,0.387,0.389,0.794,0.767,15.811,0.295,0.7209,0.7209
H1236TS290_2.pdb,0.422,0.476,0.379,0.841,0.427,0.433,0.793,0.766,15.797,0.323,0.72312,0.72312
H1236TS262_2.pdb,0.4,0.441,0.366,0.788,0.422,0.423,0.774,0.766,15.908,0.277,0.72177,0.72177
H1236TS489_4.pdb,0.371,0.433,0.325,0.802,0.395,0.396,0.792,0.766,15.867,0.296,0.72076,0.72076
H1236TS031_3.pdb,0.464,0.49,0.442,0.802,0.469,0.471,0.77,0.766,15.878,0.301,0.72145,0.72145
H1236TS345_5.pdb,0.388,0.428,0.355,0.81,0.398,0.4,0.796,0.766,15.837,0.301,0.72291,0.72291
H1236TS014_6.pdb,0.406,0.454,0.368,0.85,0.397,0.402,0.762,0.765,15.898,0.313,0.72106,0.72106
H1236TS241_1.pdb,0.363,0.374,0.353,0.838,0.375,0.379,0.808,0.765,15.989,0.292,0.72029,0.72029
H1236TS014_5.pdb,0.432,0.473,0.398,0.852,0.4,0.403,0.789,0.765,16.05,0.317,0.72194,0.72194
H1236TS262_1.pdb,0.394,0.412,0.377,0.851,0.398,0.4,0.775,0.765,15.801,0.323,0.72261,0.72261
