model_name,ics,ics_precision,ics_recall,ips,qs_global,qs_best,lddt,tmscore_mmalign,rmsd,dockq_wave,tmscore_usalign,tmscore_usalign_aligned
T1294v1TS425_3o.pdb,0.857,0.809,0.911,0.893,0.955,0.955,0.941,0.995,0.501,0.925,0.99542,0.99543
T1294v1TS319_1o.pdb,0.857,0.809,0.911,0.893,0.955,0.955,0.941,0.995,0.501,0.925,0.99542,0.99543
T1294v1TS331_2o.pdb,0.857,0.809,0.911,0.893,0.955,0.955,0.941,0.995,0.501,0.925,0.99542,0.99543
T1294v1TS051_1o.pdb,0.857,0.809,0.911,0.893,0.955,0.955,0.941,0.995,0.501,0.925,0.99542,0.99543
T1294v1TS196_3o.pdb,0.854,0.842,0.867,0.874,0.939,0.939,0.922,0.993,0.641,0.883,0.99252,0.99261
T1294v1TS462_6o.pdb,0.85,0.841,0.859,0.848,0.936,0.936,0.914,0.992,0.681,0.874,0.99161,0.9918
T1294v1TS145_5o.pdb,0.871,0.868,0.874,0.898,0.935,0.935,0.915,0.992,0.668,0.883,0.99196,0.99215
T1294v1TS196_4o.pdb,0.849,0.825,0.874,0.873,0.937,0.937,0.919,0.992,0.683,0.88,0.99157,0.99167
T1294v1TS028_2o.pdb,0.857,0.848,0.867,0.856,0.937,0.937,0.917,0.992,0.661,0.88,0.99209,0.99221
T1294v1TS241_3o.pdb,0.823,0.838,0.807,0.87,0.942,0.942,0.923,0.992,0.689,0.854,0.9917,0.99171
T1294v1TS147_2o.pdb,0.858,0.843,0.874,0.874,0.935,0.935,0.917,0.992,0.681,0.881,0.9916,0.99174
T1294v1TS110_4o.pdb,0.866,0.845,0.889,0.874,0.935,0.935,0.917,0.992,0.681,0.886,0.99161,0.99178
T1294v1TS198_1o.pdb,0.816,0.796,0.837,0.858,0.938,0.938,0.917,0.992,0.692,0.867,0.99151,0.99162
T1294v1TS028_4o.pdb,0.858,0.843,0.874,0.874,0.935,0.935,0.917,0.992,0.681,0.881,0.9916,0.99174
T1294v1TS462_4o.pdb,0.85,0.841,0.859,0.841,0.935,0.935,0.914,0.992,0.683,0.875,0.99155,0.99171
T1294v1TS294_5o.pdb,0.838,0.817,0.859,0.89,0.938,0.938,0.916,0.992,0.683,0.875,0.9916,0.99163
T1294v1TS145_1o.pdb,0.807,0.793,0.822,0.841,0.939,0.939,0.918,0.992,0.681,0.863,0.99168,0.9918
T1294v1TS110_5o.pdb,0.85,0.841,0.859,0.841,0.935,0.935,0.914,0.992,0.683,0.875,0.99155,0.99171
T1294v1TS145_3o.pdb,0.85,0.821,0.881,0.851,0.938,0.938,0.92,0.992,0.65,0.887,0.99234,0.99245
T1294v1TS462_2o.pdb,0.858,0.843,0.874,0.874,0.935,0.935,0.917,0.992,0.681,0.881,0.9916,0.99174
T1294v1TS187_1o.pdb,0.809,0.789,0.83,0.85,0.936,0.936,0.912,0.992,0.685,0.865,0.99157,0.9917
T1294v1TS147_4o.pdb,0.85,0.841,0.859,0.841,0.935,0.935,0.914,0.992,0.683,0.875,0.99155,0.99171
T1294v1TS198_4o.pdb,0.871,0.868,0.874,0.907,0.935,0.935,0.915,0.992,0.666,0.882,0.99202,0.9922
T1294v1TS110_2o.pdb,0.857,0.848,0.867,0.856,0.937,0.937,0.917,0.992,0.661,0.88,0.99209,0.99221
T1294v1TS267_5o.pdb,0.847,0.835,0.859,0.89,0.939,0.939,0.916,0.992,0.663,0.878,0.99207,0.99213
T1294v1TS110_3o.pdb,0.865,0.85,0.881,0.874,0.936,0.936,0.917,0.992,0.683,0.884,0.99157,0.99171
T1294v1TS091_2o.pdb,0.825,0.813,0.837,0.864,0.935,0.935,0.912,0.992,0.658,0.868,0.99223,0.99235
T1294v1TS294_2o.pdb,0.838,0.817,0.859,0.89,0.938,0.938,0.913,0.992,0.68,0.876,0.99168,0.99172
T1294v1TS196_1o.pdb,0.828,0.835,0.822,0.856,0.936,0.936,0.92,0.992,0.682,0.863,0.99157,0.99173
T1294v1TS294_1o.pdb,0.844,0.829,0.859,0.889,0.939,0.939,0.919,0.992,0.663,0.88,0.99206,0.99209
T1294v1TS241_4o.pdb,0.827,0.84,0.815,0.853,0.942,0.942,0.925,0.992,0.645,0.87,0.99244,0.99246
T1294v1TS110_1o.pdb,0.858,0.843,0.874,0.874,0.935,0.935,0.917,0.992,0.681,0.881,0.9916,0.99174
T1294v1TS267_1o.pdb,0.85,0.841,0.859,0.89,0.94,0.94,0.918,0.992,0.65,0.881,0.99238,0.99241
T1294v1TS196_5o.pdb,0.831,0.841,0.822,0.855,0.937,0.937,0.918,0.992,0.671,0.866,0.99187,0.992
T1294v1TS345_6o.pdb,0.86,0.854,0.867,0.865,0.939,0.939,0.921,0.992,0.677,0.879,0.99167,0.99179
T1294v1TS322_1o.pdb,0.844,0.844,0.844,0.873,0.938,0.938,0.912,0.991,0.706,0.867,0.99102,0.99116
T1294v1TS294_3o.pdb,0.839,0.812,0.867,0.891,0.936,0.936,0.914,0.991,0.692,0.877,0.9914,0.99143
T1294v1TS052_4o.pdb,0.825,0.813,0.837,0.841,0.938,0.938,0.915,0.991,0.702,0.867,0.99111,0.99124
T1294v1TS052_1o.pdb,0.844,0.829,0.859,0.866,0.939,0.939,0.919,0.991,0.722,0.87,0.99072,0.9908
T1294v1TS465_1o.pdb,0.851,0.836,0.867,0.875,0.936,0.936,0.918,0.991,0.715,0.876,0.99075,0.99083
T1294v1TS267_3o.pdb,0.837,0.837,0.837,0.89,0.938,0.938,0.915,0.991,0.693,0.865,0.99137,0.99143
T1294v1TS145_4o.pdb,0.856,0.813,0.904,0.892,0.93,0.93,0.917,0.991,0.716,0.881,0.99082,0.99097
T1294v1TS022_4o.pdb,0.825,0.813,0.837,0.841,0.938,0.938,0.915,0.991,0.702,0.867,0.99111,0.99124
T1294v1TS031_5o.pdb,0.86,0.854,0.867,0.889,0.94,0.94,0.912,0.991,0.689,0.877,0.99141,0.99152
T1294v1TS198_3o.pdb,0.859,0.819,0.904,0.892,0.929,0.929,0.917,0.991,0.714,0.881,0.99088,0.99102
T1294v1TS456_4o.pdb,0.825,0.813,0.837,0.841,0.938,0.938,0.915,0.991,0.702,0.867,0.99111,0.99124
T1294v1TS286_1o.pdb,0.84,0.866,0.815,0.85,0.933,0.933,0.905,0.991,0.72,0.857,0.99067,0.99075
T1294v1TS022_1o.pdb,0.844,0.829,0.859,0.866,0.939,0.939,0.919,0.991,0.722,0.87,0.99072,0.9908
T1294v1TS294_4o.pdb,0.83,0.81,0.852,0.891,0.937,0.937,0.913,0.991,0.699,0.87,0.9912,0.99124
T1294v1TS456_1o.pdb,0.844,0.829,0.859,0.866,0.939,0.939,0.919,0.991,0.722,0.87,0.99072,0.9908
T1294v1TS147_5o.pdb,0.851,0.836,0.867,0.848,0.934,0.934,0.914,0.991,0.691,0.878,0.9914,0.99153
T1294v1TS462_5o.pdb,0.851,0.836,0.867,0.848,0.934,0.934,0.914,0.991,0.691,0.878,0.9914,0.99153
T1294v1TS286_2o.pdb,0.855,0.882,0.83,0.887,0.939,0.939,0.907,0.991,0.714,0.866,0.99079,0.99094
T1294v1TS267_2o.pdb,0.853,0.826,0.881,0.875,0.935,0.935,0.917,0.991,0.711,0.883,0.99088,0.99097
T1294v1TS241_2o.pdb,0.812,0.824,0.8,0.845,0.939,0.939,0.921,0.991,0.712,0.847,0.99114,0.99113
T1294v1TS241_1o.pdb,0.828,0.857,0.8,0.861,0.938,0.938,0.923,0.991,0.739,0.844,0.9906,0.99058
T1294v1TS241_5o.pdb,0.832,0.858,0.807,0.861,0.942,0.942,0.924,0.991,0.741,0.846,0.99056,0.9906
T1294v1TS028_5o.pdb,0.842,0.833,0.852,0.848,0.937,0.937,0.917,0.991,0.699,0.875,0.99115,0.99127
T1294v1TS196_2o.pdb,0.833,0.816,0.852,0.857,0.938,0.938,0.921,0.991,0.718,0.869,0.99075,0.99087
T1294v1TS304_2o.pdb,0.849,0.807,0.896,0.901,0.955,0.955,0.923,0.99,0.839,0.915,0.98956,0.98955
T1294v1TS304_1o.pdb,0.861,0.829,0.896,0.892,0.954,0.954,0.924,0.99,0.823,0.919,0.99002,0.98999
T1294v1TS369_1o.pdb,0.855,0.818,0.896,0.893,0.954,0.954,0.92,0.99,0.837,0.912,0.98956,0.98955
T1294v1TS369_2o.pdb,0.854,0.822,0.889,0.884,0.954,0.954,0.919,0.99,0.83,0.912,0.98971,0.98969
T1294v1TS286_3o.pdb,0.826,0.863,0.793,0.824,0.935,0.935,0.905,0.99,0.758,0.846,0.98972,0.98986
T1294v1TS219_1o.pdb,0.823,0.838,0.807,0.836,0.941,0.941,0.902,0.99,0.771,0.841,0.98952,0.98961
T1294v1TS208_2o.pdb,0.859,0.819,0.904,0.893,0.956,0.956,0.924,0.99,0.801,0.918,0.99025,0.99022
T1294v1TS059_3o.pdb,0.794,0.875,0.726,0.796,0.938,0.938,0.901,0.99,0.75,0.834,0.9899,0.98994
T1294v1TS369_5o.pdb,0.848,0.811,0.889,0.884,0.954,0.954,0.92,0.99,0.836,0.911,0.98962,0.9896
T1294v1TS286_4o.pdb,0.848,0.868,0.83,0.887,0.933,0.933,0.906,0.99,0.737,0.861,0.99015,0.99023
T1294v1TS304_3o.pdb,0.854,0.804,0.911,0.911,0.953,0.953,0.917,0.99,0.819,0.918,0.98976,0.98979
T1294v1TS208_1o.pdb,0.847,0.797,0.904,0.893,0.955,0.955,0.92,0.99,0.822,0.918,0.98989,0.98987
T1294v1TS286_5o.pdb,0.844,0.867,0.822,0.887,0.938,0.938,0.907,0.99,0.732,0.861,0.99035,0.99045
T1294v1TS298_5o.pdb,0.849,0.915,0.793,0.848,0.939,0.939,0.905,0.989,0.807,0.836,0.98854,0.98863
T1294v1TS423_4o.pdb,0.841,0.906,0.785,0.848,0.938,0.938,0.906,0.989,0.802,0.835,0.98866,0.98873
T1294v1TS031_4o.pdb,0.848,0.851,0.844,0.853,0.94,0.94,0.913,0.989,0.787,0.853,0.98923,0.9893
T1294v1TS331_1o.pdb,0.847,0.835,0.859,0.865,0.938,0.938,0.916,0.989,0.786,0.861,0.98906,0.98914
T1294v1TS369_3o.pdb,0.852,0.812,0.896,0.893,0.954,0.954,0.918,0.989,0.845,0.912,0.98934,0.98934
T1294v1TS293_5o.pdb,0.833,0.816,0.852,0.866,0.935,0.935,0.915,0.989,0.798,0.856,0.98878,0.98889
T1294v1TS091_1o.pdb,0.852,0.852,0.852,0.853,0.937,0.937,0.912,0.989,0.797,0.854,0.98894,0.98902
T1294v1TS298_2o.pdb,0.859,0.909,0.815,0.867,0.94,0.94,0.905,0.989,0.803,0.843,0.98874,0.98882
T1294v1TS369_4o.pdb,0.855,0.818,0.896,0.901,0.952,0.952,0.92,0.989,0.843,0.912,0.98934,0.98933
T1294v1TS423_2o.pdb,0.859,0.909,0.815,0.867,0.94,0.94,0.905,0.989,0.803,0.843,0.98874,0.98882
T1294v1TS028_1o.pdb,0.842,0.818,0.867,0.874,0.936,0.936,0.915,0.989,0.805,0.861,0.98852,0.98863
T1294v1TS298_4o.pdb,0.841,0.906,0.785,0.848,0.938,0.938,0.906,0.989,0.802,0.835,0.98866,0.98873
T1294v1TS319_3o.pdb,0.847,0.835,0.859,0.865,0.938,0.938,0.916,0.989,0.786,0.861,0.98906,0.98914
T1294v1TS293_3o.pdb,0.847,0.835,0.859,0.874,0.935,0.935,0.914,0.989,0.8,0.857,0.98872,0.98883
T1294v1TS164_2o.pdb,0.854,0.864,0.844,0.89,0.935,0.935,0.903,0.989,0.792,0.856,0.98884,0.98905
T1294v1TS079_5o.pdb,0.833,0.816,0.852,0.866,0.935,0.935,0.915,0.989,0.798,0.856,0.98878,0.98889
T1294v1TS293_1o.pdb,0.841,0.838,0.844,0.855,0.936,0.936,0.914,0.989,0.803,0.851,0.98868,0.98877
T1294v1TS293_4o.pdb,0.838,0.854,0.822,0.833,0.938,0.938,0.914,0.989,0.807,0.843,0.98858,0.98868
T1294v1TS423_5o.pdb,0.849,0.915,0.793,0.848,0.939,0.939,0.905,0.989,0.807,0.836,0.98854,0.98863
T1294v1TS462_3o.pdb,0.851,0.836,0.867,0.866,0.937,0.937,0.915,0.989,0.773,0.866,0.98941,0.9895
T1294v1TS079_1o.pdb,0.841,0.838,0.844,0.855,0.936,0.936,0.914,0.989,0.803,0.851,0.98868,0.98877
T1294v1TS163_1o.pdb,0.848,0.868,0.83,0.89,0.935,0.935,0.903,0.989,0.791,0.85,0.98888,0.98908
T1294v1TS304_5o.pdb,0.864,0.834,0.896,0.911,0.957,0.957,0.921,0.989,0.852,0.918,0.98942,0.98954
T1294v1TS293_2o.pdb,0.842,0.833,0.852,0.865,0.936,0.936,0.915,0.989,0.796,0.856,0.98883,0.98894
T1294v1TS304_4o.pdb,0.831,0.792,0.874,0.874,0.952,0.952,0.921,0.989,0.858,0.906,0.98919,0.98919
T1294v1TS164_1o.pdb,0.856,0.876,0.837,0.89,0.935,0.935,0.904,0.989,0.775,0.856,0.98929,0.98949
T1294v1TS079_3o.pdb,0.847,0.835,0.859,0.874,0.935,0.935,0.914,0.989,0.8,0.857,0.98872,0.98883
T1294v1TS267_4o.pdb,0.847,0.835,0.859,0.89,0.94,0.94,0.903,0.989,0.832,0.877,0.98866,0.9887
T1294v1TS164_4o.pdb,0.853,0.869,0.837,0.89,0.934,0.934,0.904,0.989,0.774,0.855,0.98932,0.98952
T1294v1TS147_3o.pdb,0.851,0.836,0.867,0.866,0.937,0.937,0.915,0.989,0.773,0.866,0.98941,0.9895
T1294v1TS031_3o.pdb,0.848,0.851,0.844,0.852,0.938,0.938,0.913,0.989,0.806,0.852,0.98851,0.98858
T1294v1TS163_2o.pdb,0.857,0.87,0.844,0.89,0.934,0.934,0.905,0.989,0.786,0.856,0.989,0.98919
T1294v1TS079_2o.pdb,0.842,0.833,0.852,0.865,0.936,0.936,0.915,0.989,0.796,0.856,0.98883,0.98894
T1294v1TS345_1o.pdb,0.847,0.835,0.859,0.865,0.938,0.938,0.916,0.989,0.786,0.861,0.98906,0.98914
