model_name,ics,ics_precision,ics_recall,ips,qs_global,qs_best,lddt,tmscore_mmalign,rmsd,dockq_wave,tmscore_usalign,tmscore_usalign_aligned
T1298TS322_2o.pdb,0.863,0.857,0.869,0.851,0.941,0.941,0.821,0.946,2.256,0.732,0.94587,0.94614
T1298TS221_2o.pdb,0.871,0.859,0.883,0.875,0.929,0.929,0.829,0.94,2.36,0.708,0.93995,0.94026
T1298TS221_1o.pdb,0.859,0.837,0.883,0.852,0.928,0.928,0.831,0.94,2.372,0.711,0.93984,0.94005
T1298TS286_2o.pdb,0.855,0.836,0.876,0.839,0.934,0.934,0.832,0.938,2.399,0.708,0.93814,0.93837
T1298TS465_3o.pdb,0.85,0.839,0.862,0.86,0.937,0.937,0.832,0.937,2.47,0.732,0.9362,0.93646
T1298TS286_3o.pdb,0.858,0.841,0.876,0.868,0.933,0.933,0.832,0.937,2.415,0.704,0.93726,0.93753
T1298TS221_4o.pdb,0.849,0.825,0.876,0.862,0.93,0.93,0.831,0.937,2.438,0.704,0.93674,0.93698
T1298TS221_3o.pdb,0.847,0.833,0.862,0.86,0.932,0.932,0.833,0.936,2.458,0.701,0.93553,0.93576
T1298TS218_3o.pdb,0.871,0.835,0.91,0.863,0.937,0.937,0.848,0.935,2.441,0.715,0.93528,0.93554
T1298TS091_4o.pdb,0.839,0.817,0.862,0.833,0.936,0.936,0.824,0.935,2.495,0.71,0.93484,0.9351
T1298TS218_2o.pdb,0.862,0.824,0.903,0.855,0.936,0.936,0.849,0.931,2.538,0.704,0.93109,0.93135
T1298TS475_1o.pdb,0.863,0.82,0.91,0.849,0.938,0.938,0.848,0.927,2.614,0.702,0.92699,0.92681
T1298TS419_2o.pdb,0.866,0.843,0.89,0.851,0.932,0.932,0.835,0.925,2.677,0.69,0.92469,0.92486
T1298TS475_2o.pdb,0.867,0.817,0.924,0.843,0.937,0.937,0.846,0.925,2.652,0.701,0.92478,0.92458
T1298TS122_2o.pdb,0.859,0.802,0.924,0.836,0.935,0.935,0.848,0.923,2.697,0.707,0.92324,0.92357
T1298TS301_1o.pdb,0.859,0.802,0.924,0.836,0.935,0.935,0.848,0.923,2.697,0.707,0.92324,0.92357
T1298TS284_1o.pdb,0.859,0.802,0.924,0.836,0.935,0.935,0.848,0.923,2.697,0.707,0.92324,0.92357
T1298TS075_1o.pdb,0.859,0.802,0.924,0.836,0.935,0.935,0.848,0.923,2.697,0.707,0.92324,0.92357
T1298TS287_1o.pdb,0.857,0.81,0.91,0.836,0.938,0.938,0.849,0.922,2.751,0.7,0.92141,0.92122
T1298TS122_3o.pdb,0.86,0.832,0.89,0.841,0.938,0.938,0.847,0.921,2.739,0.686,0.92094,0.92118
T1298TS075_3o.pdb,0.86,0.832,0.89,0.841,0.938,0.938,0.847,0.921,2.739,0.686,0.92094,0.92118
T1298TS284_3o.pdb,0.86,0.832,0.89,0.841,0.938,0.938,0.847,0.921,2.739,0.686,0.92094,0.92118
T1298TS301_3o.pdb,0.86,0.832,0.89,0.841,0.938,0.938,0.847,0.921,2.739,0.686,0.92094,0.92118
T1298TS091_3o.pdb,0.832,0.797,0.869,0.835,0.934,0.934,0.826,0.92,2.774,0.678,0.92013,0.92026
T1298TS290_5o.pdb,0.867,0.817,0.924,0.849,0.94,0.94,0.845,0.919,2.81,0.697,0.91815,0.9184
T1298TS304_4o.pdb,0.867,0.817,0.924,0.849,0.937,0.937,0.849,0.918,2.831,0.692,0.9173,0.91704
T1298TS015_5o.pdb,0.837,0.795,0.883,0.849,0.94,0.94,0.842,0.917,2.884,0.723,0.91684,0.91693
T1298TS015_3o.pdb,0.836,0.799,0.876,0.833,0.939,0.939,0.844,0.916,2.846,0.701,0.91609,0.91613
T1298TS287_2o.pdb,0.876,0.832,0.924,0.863,0.937,0.937,0.846,0.915,2.852,0.684,0.91495,0.91469
T1298TS301_2o.pdb,0.863,0.82,0.91,0.849,0.936,0.936,0.846,0.907,3.042,0.676,0.90629,0.90646
T1298TS122_1o.pdb,0.863,0.82,0.91,0.849,0.936,0.936,0.846,0.907,3.042,0.676,0.90629,0.90646
T1298TS284_2o.pdb,0.863,0.82,0.91,0.849,0.936,0.936,0.846,0.907,3.042,0.676,0.90629,0.90646
T1298TS075_2o.pdb,0.863,0.82,0.91,0.849,0.936,0.936,0.846,0.907,3.042,0.676,0.90629,0.90646
T1298TS323_1o.pdb,0.862,0.807,0.924,0.836,0.934,0.934,0.846,0.905,3.103,0.667,0.90382,0.90352
T1298TS208_5o.pdb,0.87,0.822,0.924,0.856,0.941,0.941,0.848,0.903,3.127,0.67,0.90236,0.90248
T1298TS208_1o.pdb,0.858,0.823,0.897,0.854,0.937,0.937,0.846,0.897,3.211,0.656,0.89682,0.89696
T1298TS304_5o.pdb,0.493,0.862,0.345,0.348,0.333,0.333,0.792,0.742,15.235,0.152,0.75113,0.75038
T1298TS022_3o.pdb,0.843,0.801,0.89,0.832,0.938,0.938,0.825,0.666,9.464,0.432,0.68475,0.68429
T1298TS456_3o.pdb,0.843,0.801,0.89,0.832,0.938,0.938,0.825,0.666,9.464,0.432,0.68475,0.68429
T1298TS052_3o.pdb,0.843,0.801,0.89,0.832,0.938,0.938,0.825,0.666,9.464,0.432,0.68475,0.68429
T1298TS388_4o.pdb,0.852,0.812,0.897,0.825,0.934,0.934,0.825,0.661,10.287,0.443,0.67866,0.6782
T1298TS261_1o.pdb,0.792,0.797,0.786,0.786,0.929,0.929,0.791,0.66,9.484,0.409,0.67729,0.67677
T1298TS456_2o.pdb,0.854,0.805,0.91,0.843,0.934,0.934,0.831,0.658,9.551,0.452,0.68185,0.68139
T1298TS052_2o.pdb,0.854,0.805,0.91,0.843,0.934,0.934,0.831,0.658,9.551,0.452,0.68185,0.68139
T1298TS059_3o.pdb,0.472,0.455,0.49,0.514,0.485,0.485,0.77,0.657,16.02,0.208,0.67069,0.67008
T1298TS145_5o.pdb,0.86,0.832,0.89,0.847,0.933,0.933,0.829,0.656,9.636,0.435,0.67488,0.67432
T1298TS489_3o.pdb,0.865,0.829,0.903,0.862,0.936,0.936,0.827,0.656,9.723,0.441,0.67789,0.67738
T1298TS198_5o.pdb,0.854,0.822,0.89,0.832,0.935,0.935,0.832,0.655,9.831,0.439,0.67943,0.67888
T1298TS423_3o.pdb,0.843,0.801,0.89,0.812,0.933,0.933,0.828,0.654,9.876,0.438,0.6761,0.67558
T1298TS079_2o.pdb,0.851,0.804,0.903,0.862,0.932,0.932,0.828,0.654,9.752,0.446,0.67324,0.6727
T1298TS293_2o.pdb,0.851,0.804,0.903,0.862,0.932,0.932,0.828,0.654,9.752,0.446,0.67324,0.6727
T1298TS298_3o.pdb,0.843,0.801,0.89,0.812,0.933,0.933,0.828,0.654,9.876,0.438,0.6761,0.67558
T1298TS079_3o.pdb,0.851,0.804,0.903,0.862,0.932,0.932,0.827,0.653,9.759,0.439,0.67335,0.67282
T1298TS298_4o.pdb,0.847,0.802,0.897,0.819,0.934,0.934,0.829,0.653,9.893,0.437,0.6749,0.67438
T1298TS423_4o.pdb,0.847,0.802,0.897,0.819,0.934,0.934,0.829,0.653,9.893,0.437,0.6749,0.67438
T1298TS261_2o.pdb,0.799,0.804,0.793,0.835,0.928,0.928,0.793,0.653,9.545,0.401,0.67703,0.67645
T1298TS293_3o.pdb,0.851,0.804,0.903,0.862,0.932,0.932,0.827,0.653,9.759,0.439,0.67335,0.67282
T1298TS423_5o.pdb,0.84,0.796,0.89,0.819,0.934,0.934,0.828,0.652,9.289,0.433,0.68172,0.68123
T1298TS261_4o.pdb,0.782,0.799,0.766,0.797,0.928,0.928,0.791,0.652,9.485,0.388,0.67598,0.67529
T1298TS298_5o.pdb,0.84,0.796,0.89,0.819,0.934,0.934,0.828,0.652,9.289,0.433,0.68172,0.68123
T1298TS145_4o.pdb,0.873,0.845,0.903,0.855,0.937,0.937,0.828,0.652,9.61,0.448,0.67885,0.67832
T1298TS267_2o.pdb,0.848,0.815,0.883,0.86,0.94,0.94,0.825,0.651,9.731,0.445,0.66834,0.66773
